# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
7980 7.98 2.12338 0.41899
7990 7.99 2.18712 0.387454
8000 8 2.2707 0.366769
8010 8.01 2.36695 0.345309
8020 8.02 2.46061 0.30901
8030 8.03 2.50545 0.271254
8040 8.04 2.48747 0.259051
8050 8.05 2.45905 0.267858
8060 8.06 2.44988 0.291051
8070 8.07 2.4394 0.326514
8080 8.08 2.39631 0.360848
8090 8.09 2.33048 0.378521
8100 8.1 2.27558 0.379372
8110 8.11 2.24555 0.361878
8120 8.12 2.24383 0.331562
8130 8.13 2.26678 0.309354
8140 8.14 2.2978 0.293385
8150 8.15 2.30729 0.275901
8160 8.16 2.29096 0.253606
8170 8.17 2.30353 0.226016
8180 8.18 2.36641 0.188286
8190 8.19 2.45358 0.138701
8200 8.2 2.55822 0.113134
8210 8.21 2.64724 0.120557
